Year,Team,Mat,Won,Lost,Draw,%,tableFinish,For,Aga,Diff,Tries,redCards,yellowCards,squadNo,captain,topPlayer,topScorer,topScorerPoints,tryScorer,topTryScorer
2014,England,5,4,1,0,80,2,138,65,73,14,0,2,35,Chris Robshaw,Mike Brown,Owen Farrell,64,Mike Brown,4
2014,Ireland,5,4,1,0,80,1,132,49,83,16,0,0,34,Paul O'Connell,Brian O'Driscoll,Jonathan Sexton,66,Jonathan Sexton,4
2014,France,5,3,2,0,60,4,101,100,1,9,0,1,30,Pascal Pape,Maxime Machenaud,Jean-Marc Doussain,27,Yoann Huget,3
2014,Wales,5,3,2,0,60,3,122,79,43,11,0,2,32,Sam Warburton,Liam Williams,Leigh Halfpenny,51,George North,3
2014,Scotland,5,1,4,0,20,5,47,138,-91,4,0,0,36,Kelly Brown,Greig Laidlaw,Greig Laidlaw,19,Alex Dunbar,2
2014,Italy,5,0,5,0,0,6,63,172,-109,7,0,2,30,Sergio Parisse,Sergio Parisse,Tommaso Allan,21,Michele Campagnaro,2
2015,England,5,4,1,0,80,2,157,100,57,18,0,0,34,Chris Robshaw,Owen Farrell,George Ford,75,Jonathan Joseph,4
2015,Ireland,5,4,1,0,80,1,119,56,63,8,1,3,38,Paul O'Connell,Paul O'Connell,Jonathan Sexton,58,Sean O'Brien,2
2015,Wales,5,4,1,0,80,3,146,93,53,13,0,0,34,Sam Warburton,Leigh Halfpenny,Leigh Halfpenny,60,George North,3
2015,France,5,2,3,0,40,4,103,101,2,9,1,1,31,Thierry Dusautoir,Camille Lopez,Camille Lopez,35,Maxime Mermoz,1
2015,Italy,5,1,4,0,20,5,62,182,-120,8,1,1,31,Sergio Parisse,Sergio Parisse,Kelly Haimona,11,Luca Morsi,2
2015,Scotland,5,0,5,0,0,6,73,128,-55,6,0,3,32,Greig Laidlaw,Greig Laidlaw,Greig Laidlaw,41,Mark Bennett,2
2016,England,5,5,0,0,100,1,132,70,62,13,0,3,33,Dylan Hartley,Billy Vunipola,Owen Farrell,69,Jonathan Joseph,3
2016,Wales,5,3,1,1,70,2,150,88,62,17,0,1,37,Sam Warburton,George North,Dan Biggar,54,George North,4
2016,France,5,2,3,0,40,5,82,109,-27,7,0,1,31,Guilhem Guirado,Guilhem Guirado,Maxime Machenaud,29,Guilhem Guirado,2
2016,Ireland,5,2,2,1,50,3,128,87,41,15,0,1,35,Rory Best,Jonathan Sexton,Jonathan Sexton,49,Conor Murray,3
2016,Scotland,5,2,3,0,40,4,122,115,7,11,0,4,35,Greig Laidlaw,Stuart Hogg,Greig Laidlaw,62,Stuart Hogg,2
2016,Italy,5,0,5,0,0,6,79,224,-145,8,0,0,30,Sergio Parisse,Carlo Canna,Carlo Canna,22,Sergio Parisse,1
2017,England,5,4,1,0,80,1,146,81,65,16,0,1,35,Dylan Hartley,Joe Launchbury,Owen Farrell,63,Danny Care,3
2017,France,5,3,2,0,60,3,107,90,17,8,0,1,32,Guilhem Guirado,Guilhem Guirado,Camille Lopez,67,Gael Fickou,2
2017,Ireland,5,3,2,0,60,2,126,77,49,14,0,1,40,Rory Best,Jonathan Sexton,Paddy Jackson,36,Keith Earls,3
2017,Scotland,5,3,2,0,60,4,122,118,4,14,0,2,37,John Barclay,Stuart Hogg,Stuart Hogg,18,Stuart Hogg,3
2017,Wales,5,2,3,0,40,5,102,86,16,8,0,5,36,Alun Wyn Jones,Leigh Halfpenny,Leigh Halfpenny,62,George North,3
2017,Italy,5,0,5,0,0,6,50,201,-151,6,0,4,32,Sergio Parisse,Carlo Canna,Carlo Canna,15,Edoardo Gori,1
2018,Ireland,5,5,0,0,100,1,160,82,78,20,0,0,36,Rory Best,Jacob Stockdale,Jonathan Sexton,44,Jacob Stockdale,7
2018,Scotland,5,3,2,0,60,3,101,128,-27,11,1,3,40,John Barclay,Greig Laidlaw,Greig Laidlaw,41,Huw Jones,3
2018,Wales,5,3,2,0,60,2,119,83,36,13,0,0,39,Alun Wyn Jones,Hadleigh Parkes,Leigh Halfpenny,49,Gareth Davies,2
2018,England,5,2,3,0,40,5,102,92,10,14,1,0,35,Dylan Hartley,Owen Farrell,Owen Farrell,39,Jonny May,4
2018,France,5,2,3,0,40,4,108,94,14,8,1,1,32,Guilhem Guirado,Maxime Machenaud,Maxime Machenaud,50,Teddy Thomas,3
2018,Italy,5,0,5,0,0,6,92,203,-111,12,0,3,31,Sergio Parisse,Tomaso Allan,Tommaso Allan,41,Matteo Minozzi,4